article_title,content,category,content_markdown
Могу ли я читать на сайте с компьютера,<p>Сейчас читать книги на сайте не получится. Планируем добавить эту возможность в следующих обновлениях</p>,5,"Сейчас читать книги на сайте не получится. Планируем добавить эту возможность
в следующих обновлениях

"
Как читать книги без подписки,<p>Вы можете читать книги из каталога <strong>Бесплатные</strong></p>,5,"Вы можете читать книги из каталога **Бесплатные**

"
Как читать без интернета,"<p>Для этого загрузите книгу в приложении Строки. Как это сделать:</p><p>1. Нажмите на книгу, которую будете читать, чтобы перейти в её карточку</p><p>2. В карточке книги нажмите на значок со стрелкой вниз</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/369;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_28T160022088_674869d072fda241fbd671f6.png"" width=""500"" height=""369""></figure></section><p>Книга загрузится в приложение, и вы сможете читать её без интернета. Она будет в разделе Избранное &gt; Доступное офлайн</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_70_674869d072fda241fbd671f8.png"" width=""500"" height=""851""></figure></section>",5,"Для этого загрузите книгу в приложении Строки. Как это сделать:

1\. Нажмите на книгу, которую будете читать, чтобы перейти в её карточку

2\. В карточке книги нажмите на значок со стрелкой вниз



Книга загрузится в приложение, и вы сможете читать её без интернета. Она будет
в разделе Избранное > Доступное офлайн



"
"Как изменить шрифт, яркость или цвет фона","<p>1. &nbsp; &nbsp;В читалке нажмите на значок в виде шестеренки</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/650ee93f6b18614b3e942c35.png""></figure></section><p>2. &nbsp; &nbsp;Измените яркость, цвет фона, размер и вид шрифта</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/650ee93f6b18614b3e942c37.png""></figure></section>",5,"1\.    В читалке нажмите на значок в виде шестеренки



2\.    Измените яркость, цвет фона, размер и вид шрифта



"
Как получить книгу из платного каталога,"<p>Оформите подписку на Строки и вам будут доступны&nbsp;<a href=""https://support.mts.ru/stroki/knigi-iz-platnogo-kataloga/chto-takoe-platnii-katalog-i-platnie-knigi"">платные книги</a>&nbsp;каждый месяц. Количество таких книг в месяц зависит от подписки:</p><ul><li>Чуть-чуть — одна книга&nbsp;</li><li>Много — две книги&nbsp;</li><li>Больше всех — три книги&nbsp;</li></ul><h2 class=""ck-heading_heading2_medium"">Как получить платную книгу</h2><p>1. Перейдите в карточку книги и нажмите Получить книгу</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_54_674863d854c9122bffde5508.png"" width=""500"" height=""851""></figure></section><p>2. Подтвердите получение</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:425/511;"" src=""https://s3.cms.mts.ru/cms-files/IPHONE_MOCKUP_55_674863d554c9122bffde5504.png"" width=""425"" height=""511""></figure></section><p>3. В карточке книги появится отметка о получении, и вы можете её читать</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:425/851;"" src=""https://s3.cms.mts.ru/cms-files/IPHONE_MOCKUP_56_674863d754c9122bffde5506.png"" width=""425"" height=""851""></figure></section>",5,"Оформите подписку на Строки и вам будут доступны платные
книги каждый месяц. Количество таких книг в месяц
зависит от подписки:

  * Чуть-чуть — одна книга 
  * Много — две книги 
  * Больше всех — три книги 

## Как получить платную книгу

1\. Перейдите в карточку книги и нажмите Получить книгу



2\. Подтвердите получение



3\. В карточке книги появится отметка о получении, и вы можете её читать



"
"Что будет с начисленными платными книгами, если я отключу подписку","<p>Начисленные платные книги останутся на счёте, но заморозятся. Чтобы воспользоваться ими, подключите любую подписку</p>",5,"Начисленные платные книги останутся на счёте, но заморозятся. Чтобы
воспользоваться ими, подключите любую подписку

"
Как долго действуют платные книги после начисления,"<ul><li>в подписках <strong>Много </strong>или <strong>Больше всех</strong> Платные книги суммируются каждый месяц и сгорают через год после начисления, если их не обменять на книги из платного каталога</li><li>в подписке <strong>Чуть-чуть</strong> Платные книги не суммируются и сгорают через месяц. Если обменять их в платном каталоге, они не сгорят и останутся вашими навсегда</li></ul>",5,"  * в подписках **Много** или **Больше всех** Платные книги суммируются каждый месяц и сгорают через год после начисления, если их не обменять на книги из платного каталога
  * в подписке **Чуть-чуть** Платные книги не суммируются и сгорают через месяц. Если обменять их в платном каталоге, они не сгорят и останутся вашими навсегда

"
"Что будет с книгами из платного каталога, если я отключу подписку",<p>Они останутся у вас навсегда</p>,5,"Они останутся у вас навсегда

"
Что такое платный каталог и платные книги,"<p>Платный каталог — каталог новинок и бестселлеров. Купленные там книги останутся с вами навсегда.</p><p>Вы можете оплачивать покупки в этом каталоге с помощью внутренней валюты Строк — Платными книгами. Они начисляются каждый месяц, если у вас есть подписка:</p><ul><li>Чуть-чуть — 1 Платная книга, действует 30 дней&nbsp;</li><li>Много — 2 Платные книги, действуют 1 год&nbsp;</li><li>Больше всех — 3 Платные книги, действуют 1 год&nbsp;</li></ul><p>Когда срок действия закончится, они сгорят. Рекомендуем потратить их на книги из каталога до этого времени.</p><p>С подписками Много и Больше всех Платные книги накапливаются. Если вы не потратили их в этом месяце, в следующем прибавятся новые.</p><p>Если вы отключите подписку, то Платные книги, которые вы не потратили, заморозятся. Чтобы их использовать, нужно снова подключить подписку.</p>",5,"Платный каталог — каталог новинок и бестселлеров. Купленные там книги
останутся с вами навсегда.

Вы можете оплачивать покупки в этом каталоге с помощью внутренней валюты Строк
— Платными книгами. Они начисляются каждый месяц, если у вас есть подписка:

  * Чуть-чуть — 1 Платная книга, действует 30 дней 
  * Много — 2 Платные книги, действуют 1 год 
  * Больше всех — 3 Платные книги, действуют 1 год 

Когда срок действия закончится, они сгорят. Рекомендуем потратить их на книги
из каталога до этого времени.

С подписками Много и Больше всех Платные книги накапливаются. Если вы не
потратили их в этом месяце, в следующем прибавятся новые.

Если вы отключите подписку, то Платные книги, которые вы не потратили,
заморозятся. Чтобы их использовать, нужно снова подключить подписку.

"
Где найти мои купленные книги,"<p>Купленные книги можно найти в разделе Избранное на полке Купленное</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_69_6748688154c9122bffde5569.png"" width=""500"" height=""851""></figure></section>",5,"Купленные книги можно найти в разделе Избранное на полке Купленное



"
"Перешёл к другому оператору, а купленные книги пропали","<p>Всё верно, при переходе к другому оператору купленные книги не переносятся. Но мы можем их восстановить, просто свяжитесь с нами</p><ul><li>email <a href=""mailto:stroki@mts.ru"">stroki.help@mts.ru</a></li><li>телефон <a href=""tel:88002503270"">8 800 250-32-70</a></li><li>приложение Строки — <strong>Профиль </strong>— <strong>Написать в чат поддержки&nbsp;</strong></li></ul><p><mark class=""text-color-secondary"">Чат поддержки доступен в последней версии приложения Строки</mark></p>",5,"Всё верно, при переходе к другому оператору купленные книги не переносятся. Но
мы можем их восстановить, просто свяжитесь с нами

  * email stroki.help@mts.ru
  * телефон 8 800 250-32-70
  * приложение Строки — **Профиль** — **Написать в чат поддержки  **

Чат поддержки доступен в последней версии приложения Строки

"
Как купить книгу,"<p>Выберите удобный для вас способ покупки и следуйте инструкции:</p><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>В приложении</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><p>1. В карточке книги нажмите Купить</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_56_67a48eabb7d97234aa439e1a.png"" width=""500"" height=""851""></figure></section><p>2. &nbsp;Выберите Купить книгу и нажмите Купить</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_57_67a48eabb7d97234aa439e1c.png"" width=""500"" height=""851""></figure></section><p>3. В карточке книги появится отметка о покупке, и вы сможете её читать</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_58_67a48eacb7d97234aa439e1e.png"" width=""500"" height=""851""></figure></section></div></div></div><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>На сайте с компьютера</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><p>1. В карточке книги нажмите Купить</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:1328/782;"" src=""https://s3.cms.mts.ru/cms-files/1_1_67a48eabb7d97234aa439e18.png"" width=""1328"" height=""782""></figure></section><p>2. &nbsp;Оплатите книгу. Если это ваша первая покупка, привяжите карту</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:606/536;"" src=""https://s3.cms.mts.ru/cms-files/image_34_4_67a48eaab7d97234aa439e16.png"" width=""606"" height=""536""></figure></section><p>3. В карточке книги появится отметка о покупке, и вы сможете её читать</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:1328/498;"" src=""https://s3.cms.mts.ru/cms-files/2_1_67a48eaab7d97234aa439e14.png"" width=""1328"" height=""498""></figure></section></div></div></div>",5,"Выберите удобный для вас способ покупки и следуйте инструкции:

**В приложении**

1\. В карточке книги нажмите Купить



2\.  Выберите Купить книгу и нажмите Купить



3\. В карточке книги появится отметка о покупке, и вы сможете её читать



**На сайте с компьютера**

1\. В карточке книги нажмите Купить



2\.  Оплатите книгу. Если это ваша первая покупка, привяжите карту



3\. В карточке книги появится отметка о покупке, и вы сможете её читать



"
Как привязать банковскую карту,"<p>Это можно сделать при регистрации в сервисе или когда вы активируете промокод. Если вы <strong>уже зарегистрированы</strong>, и нужно добавить карту, выполните следующие шаги</p><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">В приложении</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p>Привязать карту можно только на Android. Как это сделать:<br><br>1. &nbsp; &nbsp;Зайдите в приложение со своим номером и перейдите на экран <strong>Профиль</strong></p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682580_67344324eacdc03bc78c47d3.png""></figure></section><p>2. &nbsp; &nbsp;В блоке активной подписки нажмите на кнопку <strong>Управлять подпиской</strong></p><section class=""incut""><figure class=""image image_resized"" style=""width:100%;""><img src=""https://s3.cms.mts.ru/cms-files/Скрин_2_67344321eacdc03bc78c47c7.png""></figure></section><p>3. &nbsp; &nbsp;Под описанием подписки нажмите на кнопку <strong>Привязать карту</strong></p><section class=""incut""><figure class=""image image_resized"" style=""width:100%;""><img src=""https://s3.cms.mts.ru/cms-files/Скрин_4_67344321eacdc03bc78c47c9.png""></figure></section><p>4. &nbsp; &nbsp;Введите данные карты</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682584_67344324eacdc03bc78c47d1.png""></figure></section><p>5. &nbsp; &nbsp;Если карту нужно изменить, нажмите на <strong>Изменить</strong></p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682583_67344320eacdc03bc78c47c5.png""></figure></section><p>6. &nbsp; &nbsp;Выберите другую карту или добавьте новую</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682585_67344323eacdc03bc78c47cf.png""></figure></section></div></div></div><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">На сайте</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p>1. &nbsp; &nbsp;Откройте сайт <a href=""https://stroki.mts.ru/?utm_source=promokotiki&amp;utm_medium=support&amp;utm_campaign=profile&amp;utm_content=pokupka-knig&amp;utm_term=kak-privyazat-bankovskuyu-kartu"" target=""_blank"" rel=""noopener noreferrer"">stroki.mts.ru </a>и нажмите на кнопку <strong>Войти</strong></p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/hrthrt45_67344322eacdc03bc78c47cb.png""></figure></section><p>2. &nbsp; &nbsp;Введите номер телефона и код из SMS</p><p>3. &nbsp; &nbsp;Нажмите на иконку профиля</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/скрин_6_67344325eacdc03bc78c47d9.png""></figure></section><p>4. &nbsp; &nbsp;В боковом меню нажмите на <strong>Управление подпиской</strong></p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/скрин_7_67344325eacdc03bc78c47d7.png""></figure></section><p>5. &nbsp; &nbsp;Нажмите на кнопку<strong> Добавить или изменить карту</strong></p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/скрин_9_67344325eacdc03bc78c47d5.png""></figure></section><p>6. &nbsp; &nbsp;Введите данные карты</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682325_67344320eacdc03bc78c47c3.png""></figure></section><p>7. &nbsp; &nbsp;Если карту нужно изменить, нажмите на <strong>Изменить</strong></p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682326_67344326eacdc03bc78c47db.png""></figure></section><p>8. &nbsp; &nbsp;Выберите другую карту или добавьте новую</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682327_67344322eacdc03bc78c47cd.png""></figure></section></div></div></div>",5,"Это можно сделать при регистрации в сервисе или когда вы активируете промокод.
Если вы **уже зарегистрированы** , и нужно добавить карту, выполните следующие
шаги

В приложении

Привязать карту можно только на Android. Как это сделать:  
  
1\.    Зайдите в приложение со своим номером и перейдите на экран **Профиль**



2\.    В блоке активной подписки нажмите на кнопку **Управлять подпиской**



3\.    Под описанием подписки нажмите на кнопку **Привязать карту**



4\.    Введите данные карты



5\.    Если карту нужно изменить, нажмите на **Изменить**



6\.    Выберите другую карту или добавьте новую



На сайте

1\.    Откройте сайт stroki.mts.ru
и нажмите на кнопку **Войти**



2\.    Введите номер телефона и код из SMS

3\.    Нажмите на иконку профиля



4\.    В боковом меню нажмите на **Управление подпиской**



5\.    Нажмите на кнопку**Добавить или изменить карту**



6\.    Введите данные карты



7\.    Если карту нужно изменить, нажмите на **Изменить**



8\.    Выберите другую карту или добавьте новую



"
Как отменить подписку в Строках,"<p>Вы можете отменить подписку в своём профиле в Строках как через приложение, так и в веб-версии сервиса</p><p>Если вы просто удалите приложение, не отменив подписку в профиле, она останется активной, и с наступлением нового месяца с вас спишут средства за продление подписки</p><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">В приложении на Android</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p>1. &nbsp; &nbsp;Перейдите на вкладку Профиль</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Mask_group_1_67f926e307e3ac500db5a87e.png""></figure></section><p>2. &nbsp; &nbsp;Нажмите на кнопку<strong> </strong>Управлять подпиской</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682901_67f926e207e3ac500db5a872.png""></figure></section><p>3. &nbsp; &nbsp;Ниже описания подписки найдите и нажмите на кнопку Отменить подписку</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682902_67f926e207e3ac500db5a878.png""></figure></section><p>4. &nbsp; &nbsp;Подтвердите свой выбор — нажмите Отменить подписку</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Mask_group_67f926e107e3ac500db5a86e.png""></figure></section><p>После отключения подписки доступ к контенту сохраняется до конца оплаченного периода</p></div></div></div><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">В приложении на iOS</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p>Отменить подписку на iOS можно тремя способами:</p><ul><li>AppStore — Профиль — Подписки &nbsp;— Выберите действующую подписку и нажмите «Отменить»</li></ul><section class=""incut""><div class=""image-carousel""><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Mask_group_1_67f926e107e3ac500db5a86c.png""></figure></div><div class=""image-carousel-left-arrow""><svg class=""image-carousel-arrow-icon"" width=""10"" height=""16"" viewBox=""0 0 10 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path class=""image-carousel-arrow-icon-path"" d=""M9.27622 13.7239C9.79692 14.2446 9.79692 15.0888 9.27622 15.6095C8.75552 16.1302 7.9113 16.1302 7.39061 15.6095L0.723939 8.94281C0.20324 8.42211 0.20324 7.57789 0.723939 7.05719L7.39061 0.390524C7.91131 -0.130177 8.75553 -0.130177 9.27622 0.390524C9.79692 0.911222 9.79692 1.75544 9.27622 2.27614L3.55237 8L9.27622 13.7239Z"" fill=""#001424""></path></svg></div><div class=""image-carousel-right-arrow""><svg class=""image-carousel-arrow-icon"" width=""10"" height=""16"" viewBox=""0 0 10 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path class=""image-carousel-arrow-icon-path"" d=""M9.27622 13.7239C9.79692 14.2446 9.79692 15.0888 9.27622 15.6095C8.75552 16.1302 7.9113 16.1302 7.39061 15.6095L0.723939 8.94281C0.20324 8.42211 0.20324 7.57789 0.723939 7.05719L7.39061 0.390524C7.91131 -0.130177 8.75553 -0.130177 9.27622 0.390524C9.79692 0.911222 9.79692 1.75544 9.27622 2.27614L3.55237 8L9.27622 13.7239Z"" fill=""#001424""></path></svg></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682905_67f926e207e3ac500db5a876.png""></figure></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682907_67f926df07e3ac500db5a858.png""></figure></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682908_67f926e007e3ac500db5a860.png""></figure></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Mask_group_67f926e107e3ac500db5a86a.png""></figure></div></div></section><ul><li>Настройки телефона — AppleID — Выберите действующую подписку и нажмите «Отменить»</li></ul><section class=""incut""><div class=""image-carousel""><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682909_67f926e207e3ac500db5a870.png""></figure></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682911_67f926e007e3ac500db5a866.png""></figure></div><div class=""image-carousel-left-arrow""><svg class=""image-carousel-arrow-icon"" width=""10"" height=""16"" viewBox=""0 0 10 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path class=""image-carousel-arrow-icon-path"" d=""M9.27622 13.7239C9.79692 14.2446 9.79692 15.0888 9.27622 15.6095C8.75552 16.1302 7.9113 16.1302 7.39061 15.6095L0.723939 8.94281C0.20324 8.42211 0.20324 7.57789 0.723939 7.05719L7.39061 0.390524C7.91131 -0.130177 8.75553 -0.130177 9.27622 0.390524C9.79692 0.911222 9.79692 1.75544 9.27622 2.27614L3.55237 8L9.27622 13.7239Z"" fill=""#001424""></path></svg></div><div class=""image-carousel-right-arrow""><svg class=""image-carousel-arrow-icon"" width=""10"" height=""16"" viewBox=""0 0 10 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path class=""image-carousel-arrow-icon-path"" d=""M9.27622 13.7239C9.79692 14.2446 9.79692 15.0888 9.27622 15.6095C8.75552 16.1302 7.9113 16.1302 7.39061 15.6095L0.723939 8.94281C0.20324 8.42211 0.20324 7.57789 0.723939 7.05719L7.39061 0.390524C7.91131 -0.130177 8.75553 -0.130177 9.27622 0.390524C9.79692 0.911222 9.79692 1.75544 9.27622 2.27614L3.55237 8L9.27622 13.7239Z"" fill=""#001424""></path></svg></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682912_67f926e207e3ac500db5a874.png""></figure></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682913_67f926e307e3ac500db5a87c.png""></figure></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Mask_group_67f926df07e3ac500db5a856.png""></figure></div></div></section><ul><li>приложение Строки — Профиль — Управление подпиской</li></ul><section class=""incut""><div class=""image-carousel""><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Mask_group_67f926e007e3ac500db5a864.png""></figure></div><div class=""image-carousel-left-arrow""><svg class=""image-carousel-arrow-icon"" width=""10"" height=""16"" viewBox=""0 0 10 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path class=""image-carousel-arrow-icon-path"" d=""M9.27622 13.7239C9.79692 14.2446 9.79692 15.0888 9.27622 15.6095C8.75552 16.1302 7.9113 16.1302 7.39061 15.6095L0.723939 8.94281C0.20324 8.42211 0.20324 7.57789 0.723939 7.05719L7.39061 0.390524C7.91131 -0.130177 8.75553 -0.130177 9.27622 0.390524C9.79692 0.911222 9.79692 1.75544 9.27622 2.27614L3.55237 8L9.27622 13.7239Z"" fill=""#001424""></path></svg></div><div class=""image-carousel-right-arrow""><svg class=""image-carousel-arrow-icon"" width=""10"" height=""16"" viewBox=""0 0 10 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path class=""image-carousel-arrow-icon-path"" d=""M9.27622 13.7239C9.79692 14.2446 9.79692 15.0888 9.27622 15.6095C8.75552 16.1302 7.9113 16.1302 7.39061 15.6095L0.723939 8.94281C0.20324 8.42211 0.20324 7.57789 0.723939 7.05719L7.39061 0.390524C7.91131 -0.130177 8.75553 -0.130177 9.27622 0.390524C9.79692 0.911222 9.79692 1.75544 9.27622 2.27614L3.55237 8L9.27622 13.7239Z"" fill=""#001424""></path></svg></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682903_67f926e007e3ac500db5a85c.png""></figure></div><div class=""image-carousel-item""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682904_67f926e007e3ac500db5a862.png""></figure></div></div></section><p>На странице управления подпиской пролистайте вниз и нажмите «Отменить подписку». После этого вас автоматически перенаправит в AppStore в раздел ваших активных подписок. Выберите действующую подписку и нажмите «Отменить».</p></div></div></div><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">В веб-версии</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><ol><li>Нажмите на иконку Профиля</li></ol><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682914_67f926e007e3ac500db5a85a.png""></figure></section><p>2. &nbsp; &nbsp;Нажмите Управление подпиской</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682915_67f926e307e3ac500db5a87a.png""></figure></section><p>3. &nbsp; &nbsp;В блоке подключенной подписки нажмите на Отменить подписку</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682916_67f926e007e3ac500db5a85e.png""></figure></section><p>4. &nbsp; &nbsp;Подтвердите свой выбор — нажмите Отменить подписку</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2043682917_67f926e107e3ac500db5a868.png""></figure></section><p>После отключения подписки доступ к контенту сохраняется до конца оплаченного периода</p></div></div></div>",5,"Вы можете отменить подписку в своём профиле в Строках как через приложение,
так и в веб-версии сервиса

Если вы просто удалите приложение, не отменив подписку в профиле, она
останется активной, и с наступлением нового месяца с вас спишут средства за
продление подписки

В приложении на Android

1\.    Перейдите на вкладку Профиль



2\.    Нажмите на кнопку**** Управлять подпиской



3\.    Ниже описания подписки найдите и нажмите на кнопку Отменить подписку



4\.    Подтвердите свой выбор — нажмите Отменить подписку



После отключения подписки доступ к контенту сохраняется до конца оплаченного
периода

В приложении на iOS

Отменить подписку на iOS можно тремя способами:

  * AppStore — Профиль — Подписки  — Выберите действующую подписку и нажмите «Отменить»











  * Настройки телефона — AppleID — Выберите действующую подписку и нажмите «Отменить»











  * приложение Строки — Профиль — Управление подпиской







На странице управления подпиской пролистайте вниз и нажмите «Отменить
подписку». После этого вас автоматически перенаправит в AppStore в раздел
ваших активных подписок. Выберите действующую подписку и нажмите «Отменить».

В веб-версии

  1. Нажмите на иконку Профиля



2\.    Нажмите Управление подпиской



3\.    В блоке подключенной подписки нажмите на Отменить подписку



4\.    Подтвердите свой выбор — нажмите Отменить подписку



После отключения подписки доступ к контенту сохраняется до конца оплаченного
периода

"
"Что произойдёт с моими книгами, если я отменю подписку","<p>Книги, купленные за деньги или с баланса платных книг, останутся у вас навсегда. Доступ к книгам, которые вы читали по подписке, пропадёт, но сохранится история чтения, прогресс, закладки и цитаты</p>",5,"Книги, купленные за деньги или с баланса платных книг, останутся у вас
навсегда. Доступ к книгам, которые вы читали по подписке, пропадёт, но
сохранится история чтения, прогресс, закладки и цитаты

"
Как оформить подписку,"<div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">Приложение Строки</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p>Главная страница <a href=""https://stroki.mts.ru/subscriptions"" target=""_blank"" rel=""noopener noreferrer"">приложения</a> — раздел <strong>Профиль</strong> внизу экрана — Выбрать подписку — <strong>Подписаться</strong> — Выбрать способ оплаты и оплатить</p></div></div></div><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">Приложение Мой МТС</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p>Главная страница <a href=""https://mts.ru/app"" target=""_blank"" rel=""noopener noreferrer"">приложения</a> — раздел<strong> Каталог </strong>внизу страницы — экран <strong>Сервисы и приложения</strong> — <strong>Строки</strong> — <strong>Подключить</strong> — Выбрать подписку — Подтвердить подключение</p></div></div></div><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">Сайт Строки</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p><a href=""https://stroki.mts.ru/"" target=""_blank"" rel=""noopener noreferrer"">Сайт Строки</a> — раздел <strong>Подписки </strong>справа вверху — Выбрать подписку — <strong>Подписаться </strong>— Выбрать способ оплаты и оплатить</p></div></div></div><div class=""accordion""><div class=""accordion-header-wrapper""><div class=""accordion-header"">Личный кабинет МТС</div></div><div class=""accordion-content-wrapper""><div class=""accordion-content""><p><a href=""https://lk.mts.ru/"" target=""_blank"" rel=""noopener noreferrer"">Личный кабинет МТС</a> — раздел <strong>Услуги</strong> — <strong>Доступные</strong> — <strong>Развлечения</strong> —<strong> Выбрать подписку</strong> — <strong>Подключить</strong> — Подтвердить подключение</p></div></div></div>",5,"Приложение Строки

Главная страница приложения — раздел
**Профиль** внизу экрана — Выбрать подписку — **Подписаться** — Выбрать способ
оплаты и оплатить

Приложение Мой МТС

Главная страница приложения — раздел**Каталог** внизу
страницы — экран **Сервисы и приложения** — **Строки** — **Подключить** —
Выбрать подписку — Подтвердить подключение

Сайт Строки

Сайт Строки — раздел **Подписки** справа вверху —
Выбрать подписку — **Подписаться** — Выбрать способ оплаты и оплатить

Личный кабинет МТС

Личный кабинет МТС — раздел **Услуги** — **Доступные** —
**Развлечения** —**Выбрать подписку** — **Подключить** — Подтвердить
подключение

"
Могу ли я перейти на другую подписку,"<p>Да. Зайдите <a href=""https://stroki.mts.ru/"" target=""_blank"" rel=""noopener noreferrer"">в профиль на сайте Строк</a> справа вверху— вкладка <strong>Управлять подпиской&nbsp;</strong>— отмените действующую подписку, после чего выберите и оплатите новую</p>",5,"Да. Зайдите в профиль на сайте Строк справа вверху—
вкладка **Управлять подпиской  **— отмените действующую подписку, после чего
выберите и оплатите новую

"
